,artist_no,artist_name,artist_uri,last_played_date
0,1,Born Ruffians,spotify:artist:7wGrLSB3v7jkV3fSsjYwtv,1/1/1900
1,2,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,1/1/1900
2,3,Local Natives,spotify:playlist:3YBSx3s87Crl02oDc3jzyG,1/1/1900
3,4,The War on Drugs,spotify:artist:6g0mn3tzAds6aVeUYRsryU,1/1/1900
4,5,The Jungle Giants,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,1/1/1900
5,6,Ball Park Music,spotify:artist:1ououJVWgWsHWMYDLvT7sH,1/1/1900
6,7,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,1/1/1900
7,8,Glass Animals,spotify:artist:4yvcSjfu4PC0CYQyLy4wSq,1/1/1900
8,9,#1 Dads,spotify:artist:0RCHY4NGqCJ5GLWCYz2OiI,27/03/2021
9,10,Caribou,spotify:artist:4aEnNH9PuU1HF3TsZTru54,27/03/2021
10,11,Cloud Control,spotify:artist:5DCtsJfyBEzvZ9qN7jSA6j,1/1/1900
11,12,Panama,spotify:artist:3W9UldYu0xJcaOAw2SUTDI,1/1/1900
12,13,Last Dinosaurs,spotify:artist:677sHrkjhB7IP4YwjzZyc4,1/1/1900
13,14,San Cisco,spotify:artist:0Ou0138wEd8XWebhc4j7O0,1/1/1900
14,15,London Grammar,spotify:artist:3Bd1cgCjtCI32PYvDC3ynO,1/1/1900
15,16,Royal Blood,spotify:artist:2S5hlvw4CMtMGswFtfdK15,1/1/1900
16,17,The Preatures,spotify:artist:5gcDZA9xXCOspWgQilUYIu,1/1/1900
17,18,FISHER,spotify:artist:1VJ0briNOlXRtJUAzoUJdt,1/1/1900
18,19,Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,1/1/1900
19,20,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,1/1/1900
20,21,Anderson Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa,1/1/1900
21,22,Gypsy & The Cat,spotify:artist:54xBWCXYw0pydXBknIdiC6,1/1/1900
22,23,King Princess,spotify:artist:6beUvFUlKliUYJdLOXNj9C,1/1/1900
23,24,Something for Kate,spotify:artist:47yawJswuSfSvizYhItoOP,1/1/1900
24,25,Cub Sport,spotify:artist:6vqMDhoigg5btfdPsPTVFt,1/1/1900
